,Frame,prox,dist,prox_filtered,dist_filtered
198,198,16,15,18.0,10.0
199,199,17,13,18.0,11.0
200,200,18,13,18.0,11.0
201,201,17,15,18.0,11.0
202,202,18,13,18.0,11.0
203,203,18,14,18.0,12.0
204,204,17,13,18.0,11.0
205,205,18,13,18.0,12.0
206,206,17,13,18.0,12.0
207,207,18,13,18.0,12.0
208,208,17,12,18.0,12.0
209,209,19,9,18.0,12.0
210,210,19,12,18.0,12.0
211,211,18,10,18.0,12.0
212,212,18,11,19.0,12.0
213,213,18,11,19.0,11.0
214,214,20,10,19.0,11.0
215,215,19,10,19.0,11.0
216,216,20,8,18.0,11.0
217,217,19,16,18.0,11.0
218,218,19,8,18.0,11.0
219,219,20,12,18.0,11.0
220,220,19,13,18.0,11.0
221,221,20,11,18.0,11.0
222,222,19,11,18.0,11.0
223,223,20,13,18.0,11.0
224,224,19,7,18.0,11.0
225,225,19,4,18.0,11.0
226,226,18,15,18.0,11.0
227,227,19,11,18.0,11.0
228,228,0,11,18.0,11.0
229,229,18,11,18.0,11.0
230,230,19,12,18.0,11.0
231,231,20,11,18.0,11.0
232,232,19,8,17.0,11.0
233,233,18,13,17.0,11.0
234,234,19,15,17.0,11.0
235,235,19,12,17.0,11.0
236,236,19,10,17.0,11.0
237,237,19,12,17.0,11.0
238,238,20,15,17.0,11.0
239,239,19,12,17.0,11.0
240,240,19,12,17.0,11.0
241,241,19,12,18.0,12.0
242,242,18,10,18.0,12.0
243,243,0,9,18.0,11.0
244,244,18,11,18.0,11.0
245,245,18,9,18.0,11.0
246,246,17,10,18.0,11.0
247,247,18,8,18.0,11.0
248,248,19,10,18.0,11.0
249,249,18,11,18.0,11.0
250,250,19,11,18.0,11.0
251,251,18,14,18.0,11.0
252,252,20,13,17.0,11.0
253,253,18,17,17.0,11.0
254,254,17,13,17.0,11.0
255,255,20,9,17.0,11.0
256,256,20,6,18.0,12.0
257,257,20,11,18.0,12.0
258,258,20,9,18.0,12.0
259,259,20,11,18.0,12.0
260,260,18,13,18.0,12.0
261,261,20,13,18.0,12.0
262,262,20,14,18.0,12.0
263,263,17,14,18.0,13.0
264,264,0,15,18.0,13.0
265,265,17,13,18.0,12.0
266,266,18,13,18.0,12.0
267,267,20,10,18.0,12.0
268,268,19,13,18.0,12.0
269,269,18,16,18.0,12.0
270,270,20,11,18.0,12.0
271,271,18,12,18.0,13.0
272,272,19,16,18.0,13.0
273,273,20,11,17.0,13.0
274,274,20,13,17.0,13.0
275,275,19,14,16.0,12.0
276,276,20,13,16.0,13.0
277,277,19,11,17.0,12.0
278,278,18,14,17.0,12.0
